original	replacement
test_ndi_element	ndi.test.element
test_ndi_filenavigator	ndi.test.filenavigator
test_ndi_filenavigator_fileIDfunction	ndi.test.filenavigator.fileIDfunction
test_ndi_probe	ndi.test.probe
ndi_test_sessiontable	ndi.test.sessiontable
ndi_angeluccilab_test	ndi.test.setups.angeluccilab_test
ndi_katzlab_narendra_test	ndi.test.setups.katzlab.narendra_test
ndi_marderlab_hamood_test	ndi.test.setups.marderlab.hamood_test
ndi_testvhlabsetup	ndi.test.setups.vhlabsetup_test
ndi_testsuite	ndi.test.testsuite
ndi_clocktype	ndi.time.clocktype
ndi_syncgraph	ndi.time.syncgraph
ndi_syncrule	ndi.time.syncrule
ndi_syncrule_filematch	ndi.time.syncrule.filematch
ndi_timemapping	ndi.time.timemapping
ndi_timereference	ndi.time.timereference
ndi_timeseries	ndi.time.timeseries
